content,label
夏末疯抢正当时，周末免邮给力！NAME女鞋折起件再享DIGIT元折扣壕送。欢迎下单唯品会网站：URL回退订链接；如有疑问请拨打客服电话TD咨询哦~,0.0
老金磨方淘宝店双活动开始啦！进店铺收藏并关注微信了解更多信息。点击这里（URL）回复“n”退订消息哦~,0.0
亲爱的小伙伴们，周末进口乐购起来！可爱纸尿裤满DIGIT减DIGITNAME专享优惠片装手机端专属福利。精选奶粉折起活动详见网站介绍哦~如需退订请回复“回”。,0.0
亲:瑞法斯娅茜店的家人们，感谢你们x年的陪伴！英姐在这里提前祝您元宵节快乐！女人节快乐！情暖三月天，幸福女人节，瑞法斯养身内衣在此双节期间，特惠推出以下活动：满xxx元直减xx元满xxx元直减xx元满xxx元直减xx元另：只要您在活动期间购买即可获得本店养身VIP卡一张。活动日期x月x号到x号。空中花园负二楼一马路xx号娅茜私衣坊,0.0
您好，平山新天驰汽贸祝您万事如意，心想事成。如需贷款购车,0.0
尊敬的物美PLACE会员，您好！新一轮促销季已经开始啦。DIGIT日当天购物满DIGIT即送DIGIT积分哦~周末赶快囤货吧！（仅限三天）详情请见店内回复“t”进行退订.谢谢您的光临!,0.0
韩国新生活美容院x.x节美丽活动开始啦！所有进店的顾客都可以享受一，xx元深层保湿排毒x次，韩式灌肤或全套补水护理x次。二,0.0
比买房还便宜！下埠中心商业街xx㎡全产权旺铺xx万元/套起，认筹活动火爆进行中，仅限前xx名巨惠价，即将涨价，抢到即赚到,0.0
圣诞节快到了，想要一款充满魔力的玩具吗？来这里看看吧！我们精选了最受欢迎的爆款满载着惊喜。购买带有声光的名字系列粉色折后元抢购哦~详细信息请查看网站或致电热线回退订服务吧!,0.0
您好，我是阳光车险的吕瑞博，在x.x号当天有一次大型的优惠车险爆点活动，除了价格上的优惠之外，另外在投保礼的原有基础上翻倍的送您，比如之前送xxx，x.x号当天送xxx,0.0
欢欢喜喜过羊年！克丽缇娜养生会所带您抢红包，更有惊喜大礼等你来认领，错过了是您的遗憾，抢到了是您的福气，让我们一起锁定克丽缇娜养生大年正月xx-xx“开门红”！您来我就送，抓现金抢红包一个不落空，可以抓两次哦！能给您带来一年的好运！详情请店内咨询xxxxxxx,0.0
“我是户外爱好者。我想了解你们店特供的野外狩猎和射击装备中的颓鹰工字牌送铅子瞄准镜产品实图及联系电话是多少？请回复电CELLPHONENAME或微信可到付费。”,0.0
本美容院三八妇女节搞活动，店从装修开业活动，您只须花xxxx元做一年护理。其中包含洗面xx次，精油推背xx次，推腿xx次,0.0
，欢迎各位会员尽快进店了解，优惠多多，惊喜多多，详细资询请打本店电话,0.0
投资价值洼地均价多少？DIGITNAME入户紧邻高铁站毗邻高速出口。如果您想了解更多详情请联系我CELLPHONE号码是多少?,0.0
"今晚点手机抢购淘宝菊花茶罐机不可失回馈老客户前一百名有神秘大礼，打开你的手机点击“淘”进入淘宝页面再选择""场""，一旦成功购买即可退订回复n。请务必抓住这个机会哦！",0.0
亲，三诺血糖试纸正在进行冰点价疯抢活动哦！更多惊喜在店内。期待您的光临~如有退订需求请回复相应内容即可。,0.0
您好，我是绿城?翡翠园置业顾问：马智慧,0.0
您好，全场冬装满减活动开始了！金卡持有人再享折上额外优惠。详情请咨询店内工作人员或查看店铺公告哦~,0.0
您好，原可爱宝宝母婴店（贝因美）现搬至银泰童梦园街，店名乐蓓，内设婴儿游泳馆，理发室，摄影馆，更有进口食品、用品,0.0
“当当暑价童书教辅满DIGIT减DIGIT最高可再降至DIGIT防晒亲子出行现在还有折起活动哦！带上NAME出发吧！”,0.0
尊敬的客户，感谢您一直以来对联通的支持与信任。为了答谢新老客户的厚爱，我们特别推出了一项传媒炫铃赚话费服务。只要回复本短信即可免费参加活动并赠送价值元的首铃声音（URL链接点击领取）。期待您的参与！如有疑问请致电客服热线：XXX-XXXXXX,0.0
良渚文化村精装花园洋房秋荷坊二期三月开盘，目前正在火爆认筹中，存x万减x万，开盘还有额外大优惠,0.0
“敢爱就敢买！日昱城的真实爱情俯瞰万起开发的实景。还代年月人共享受即住椖源有艮先到先得仅本周八DIGIT。”,0.0
最后一天购买DIGIT赠品礼遇的详情可以在官网URL查看。如果您想退阅此信息或取消订阅请回复TD即可完成操作哦！,0.0
尊敬的会员您好：蓝妮尔养生美容院为迎接三八妇女节的到来特推出各项优惠活动，凡进店会员即可免费领取精美礼品一份,0.0
尊敬的客户，欢迎您了解中国移动全光纤宽带！我们提供优质的服务和覆盖全省的网络。每天仅需几块钱起即可享受移动光宽带的便捷体验和高速度视频服务。我们的价格实惠、服务质量好且广受家庭用户的选择与信赖。您可以前往当地任意一家授权专营店或拨打DIGIT热线办理业务咨询和服务申请手续等事宜。期待您的到来并选择中国移动互联网作为您的首选品牌之一！,0.0
"""韩宫·汗蒸美容院与您共舞女人情，""""如花人生，美丽相伴""""，三八狂欢",0.0
购房首付不够？搜房来帮忙！搜房面向搜房会员推出独享首付贷服务，x天放款，无需抵押，最高可贷xxx万，年利率低至x%,0.0
尊敬的客户，恭喜您可参加以下优惠活动：DIGIT元享DIGIT元年包迁转办理上网套餐送10GB流量+24个月会员权益；最高返利568.97元。更多详情请回复“获取”。,0.0
今天九点半唯品会皇钻特权优先购开启，抢luxman女装、byford男装等大牌低至DIGIT折！尊贵网址：XXX。快人一步享受更多优惠哦~如有需要请回复退订短信即可~[开心],0.0
情人节快到了，姗姗来迟的TA与浪漫邂逅。为了给对方一份惊喜，我准备好了特别的礼物：商场里庆尚品金箔玫瑰和浪琴手表等商品都有特别活动哦！思加图品牌单鞋每双直减元；部分满额可享折优惠。期待着爱火花在此时此刻迸发出来吧!祝你们幸福快乐每一天!。,0.0
货拉拉司机已接单，等待您的确认。,0.0
【中国农行】尊敬的客户，感谢您一直以来对中国农业银行的信任与支持。我们将继续为您提供更优质的服务和产品！,0.0
“感恩NAME大女士护肤品品牌购物当天单笔实付满DIGIT元即可免费获得一盒面膜片。详见店内宣传。”,0.0
紫光美容院全体美容师恭祝您新年快乐！从今日起，本院正式营业,0.0
